Товар,,,,,,,Статус,Готов к выдаче,Забрали,Истёк срок хранения,Информация,,,,,ПВЗ,
Бренд,Предмет,Баркод,Артикул WB,Штрихкод,Стикер,КИЗ,,,,,Тип,Дата заказа,Причина,Номер сборочного задания,Srid,Адрес,ID
ADRIANA CASA,Шторы интерьерные,2043048880249,345232968,52711376026,52711376026,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4899157817,mp.17a6c618c7ff485cb6c14b04c0ffd678.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560963,246094599,52786679099,50506365514,,Выдано,2026-04-18 12:27:25,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4904585139,mp.3f266811dd9048a194417f4ec3a6050f.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040747328362,246377473,52546126009,52546126009,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4884832671,mp.4ed929850c474a4280ee3b6efb43239a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2021744880466,65643054,52785522252,52785522252,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4903994157,mp.4fa648158dc44f398a2089b01c3bdf45.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757481337,181095884,32324452015,32324452015,,Выдано,2026-04-23 09:24:27,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4851695699,mp.52273c8e50444f12a82506a0756d5f18.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044506197626,120366333,52545102720,52545102720,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4883809027,mp.857a199fb6574e1fa7fc644c37417cfa.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681267215,244447129,52790763824,52790763824,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4907063422,mp.9379407edc6241ba853a03cc067011ff.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048917565555,818378168,52815095779,52815095779,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4910179106,mp.9b0ec08df2c94d77a6bc2caea44870a7.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646554,244226724,52476672424,52476672424,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4879435215,mp.bf339636627d40c9980394476d76b300.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2021744880466,65643054,52785522255,52785522255,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4903994161,mp.d8dd8ca39d244f01bb3cda81f710be66.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040747328362,246377473,52546126006,52546126006,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4884832670,mp.ddb42962beb84165903eabd7e09f17d5.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044506197626,120366333,52545102721,52545102721,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4883809026,mp.ea9fda1984df4b76b02b80f477f7f05c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2043749455562,396860460,52812237956,52812237956,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4908406322,mp.fca5ce7d1f9b4727916626224428bf43.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CANTO,Шторы интерьерные,2040191803798,234407655,52395429307,50526436818,,Выдано,2026-04-24 09:11:29,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4876073793,mp.fd9b4861320145c99b1ff08d9c157d43.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CANTO,Шторы интерьерные,2040191803798,234407655,52395429304,50526436814,,Выдано,2026-04-24 09:10:40,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-15,,4876073792,mp.ff2e9b57a63648cfa6f9741b0e1c2589.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2037547868433,149517344,52310935043,52310935043,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4864334324,mp.020b6a8e55d947dea26398040be72c0e.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681265471,244447238,52785760095,52785760095,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4904232053,mp.2d08c622c607413d87268ad43c85a0bd.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040606946232,242307887,52681724639,52681724639,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4896017040,mp.4593fb2ef56b42868c5bf225a5f2441c.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI PARMA,Тюль,2040413486921,237988936,52392031761,52392031761,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4872675689,mp.5db5eddd120e4140a68f21460cfada07.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA DONNA,Шторы интерьерные,2040848774839,249850149,52475211743,48711525749,,Выдано,2026-04-19 09:35:06,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4878533297,mp.5fe4226e9ba341cfb27dcaa8bc8d8e0f.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647285,244226784,52601195451,51391228762,,Выдано,2026-04-18 10:03:07,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4891117952,mp.6c1b4d353c6a4361ae9b603bce6749ba.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681265471,244447238,52815053364,52815053364,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4910136631,mp.a3f9903010af4b22b94d5cffb83503ea.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040769367363,247049486,52762217031,48570450384,,Выдано,2026-04-19 09:36:09,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4902558468,mp.b9b683f7128b41648069e0ae123b1391.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2038087023795,166694065,52755620290,52755620290,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4900725098,mp.c93f993c7916412c8fb21ca2739bbe1c.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040769367363,247049486,52762217032,48570450380,,Выдано,2026-04-19 09:36:11,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4902558469,mp.ccb0ec1041ac42c0b8b2c0cdd15c0e73.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040606947314,242307989,52681836163,52681836163,,Отмена по задержке,,,,"Возврат товара, который приехал по МП, продавцу",2026-04-16,,4896044146,mp.d25e2f99155b42c99a5c2bf0d6d38c93.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040639722773,243085405,52825997718,51112262951,,Выдано,2026-04-20 09:53:44,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4911977089,mp.01dfb781ad184103a70a63c37b8ca372.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755122734,220984212,52815902765,50986930771,,Выдано,2026-04-20 09:47:19,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4910986468,mp.0a8b339e47f346a0b9db9eb08af0f717.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2038529411777,175100430,52760812783,50568756245,,Выдано,2026-04-20 09:15:16,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4901143465,mp.0ba62ef837764c9b9728b1517997cea8.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755122734,220984212,52815528434,50986930779,,Выдано,2026-04-20 09:47:15,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4910612337,mp.1340cf58018548fd8bf76e8657bc6567.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560604,246094639,52815313037,47062456182,,Выдано,2026-04-20 09:20:01,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4910396586,mp.189196bb49ba4758af8ae31bac36c80d.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2038515515243,174855546,52760814709,51068629231,,Выдано,2026-04-20 09:15:32,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4901144522,mp.35a09fb130eb462ab56e5e19e674b43f.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647278,244226759,52814341627,49490520618,,Выдано,2026-04-20 09:01:26,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4909983261,mp.39556dce3c63432a9c1a926a7cf91976.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647315,244226863,52693527186,49129004756,,Выдано,2026-04-20 09:09:06,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4896322491,mp.4e02e22239a34562aef6155c4f67f50f.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2042616462627,118053719,52140738597,50782848025,,Выдано,2026-04-20 12:51:15,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4849392590,mp.569f1134f0244fc299aca8f9aa209c8c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037545158086,149403520,52896042194,51189714786,,Выдано,2026-04-20 09:47:08,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4917145274,mp.5cf8178fb0864d208f1d35e5a591c37c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266812,244447326,52872362681,50673465367,,Выдано,2026-04-21 11:21:24,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4913520619,mp.697c12c018ff466bb4c2fefc1a6a91b8.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755122710,220984049,52435140034,50666305067,,Выдано,2026-04-20 09:39:45,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4877343546,mp.78a113f4965a4efb8570189a98b2c91c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2044039075149,420226070,52875633164,52875633164,,Выдано,2026-04-19 12:23:17,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4913760250,mp.8f656186245048cb8b35bb655e106af8.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597273062,176482112,52790653890,52790653890,,Выдано,2026-04-22 09:57:33,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4906952950,mp.983ca1cdba6f40e98060e4eed301ddd5.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755197336,220985815,52393230075,50571382123,,Выдано,2026-04-21 09:48:53,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4873874096,mp.a32f33bb5760447782900b3847087ebd.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2038279976557,171828940,52815084745,50689803624,,Выдано,2026-04-21 11:27:02,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4910168057,mp.a52bd041808f423c960b332b3d9e3e5b.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2038529411777,175100430,52831588099,51068629227,,Выдано,2026-04-20 09:15:24,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4912560526,mp.acd03aa173804795b31dedaa71cf6244.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755122734,220984212,52815528437,50986930767,,Выдано,2026-04-20 09:47:03,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4910612336,mp.b882bd5ae6a34c109c58a7ee21d7654a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755122734,220984212,52815902766,50986930775,,Выдано,2026-04-20 09:47:06,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4910986469,mp.bdce5577ac294c819d4245f94746bde2.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2042616462627,118053719,52140738593,50782848021,,Выдано,2026-04-20 12:45:17,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4849392589,mp.cd2c5c472fac46a6a1306f5fb99982c6.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737560604,246094639,52815313038,47062456178,,Выдано,2026-04-20 09:18:50,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-17,,4910396587,mp.e50a4258aa5a491689cb0ba469d28f59.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040637383198,242971172,52785389734,51288241326,,Выдано,2026-04-23 09:41:53,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4903861476,mp.1003d4a1dc0e44aea9de55a67e4aa855.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737561533,246094537,52955627543,50493691772,,Выдано,2026-04-20 18:15:17,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4923181259,mp.159ee9515e7f4486918eeeaf98f05ae1.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266058,244447186,52393430720,47268057007,,Выдано,2026-04-27 09:09:46,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4874073813,mp.24366a170e504af09e0b8b84cd27ee20.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647285,244226784,52153507528,36882686096,,Выдано,2026-04-23 13:21:44,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4850346609,mp.464b2d026a234389add01c5b7f384b2e.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266058,244447186,52393430721,47268056999,,Выдано,2026-04-27 13:23:22,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4874073814,mp.4ee317bd5c4e42feac47e513b67e1617.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768276611,246980227,52897690632,49041128526,,Выдано,2026-04-22 09:44:14,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4918144262,mp.55a70401319543a78c9dd8afd069bf81.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2023009228075,68186859,52826251454,49093846189,,Выдано,2026-04-21 15:23:26,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4912231060,mp.5b410299c3a2434a8bf7c77d1e048e23.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681265198,244447127,52897484672,50665082079,,Выдано,2026-04-20 18:23:32,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4917938197,mp.62e0b5fb3ae6458c8012ce07821da87a.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040637383198,242971172,52785388336,51288241324,,Выдано,2026-04-23 09:42:52,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4903860077,mp.728c8eeed1bf42b7b825fc7fa46cc20f.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755124561,220984204,52890474413,48787745963,,Выдано,2026-04-21 09:53:54,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4916713610,mp.8cf79df126994549b4ab0bb27aef3e74.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA DONNA,Шторы интерьерные,2040848774822,249850128,52877368056,46354083255,,Выдано,2026-04-23 09:24:36,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4914846346,mp.91ec5ec1f0fe4d5aac37d08b4f7a6e9c.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040519492147,240119842,52955151205,50738467941,,Выдано,2026-04-20 13:26:17,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4922740616,mp.95fe1b4b567f422e9e47834b398a10c0.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757481535,181096027,52890421742,51133723178,,Выдано,2026-04-21 20:03:15,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4916660917,mp.9cba713ffac5432b84636585db1e5275.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2020383265054,63200844,52815628551,50846682156,,Выдано,2026-04-20 18:24:42,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4910712579,mp.a16c4801b38f42a88e6faf2883a25ab4.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755124561,220984204,52713194190,50572352272,,Выдано,2026-04-23 09:52:24,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4899564493,mp.a9a26f47ada34717b766beceb5696ab8.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768276604,246980468,52611836316,49041128518,,Выдано,2026-04-22 09:48:53,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4917584472,mp.bee59707777f4a6e9eb31bf4b8f67f56.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768276123,246980053,52831861857,50595936991,,Выдано,2026-04-20 18:29:21,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4912834542,mp.d628299905af47c0b5b39e72ad9d743b.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2039905557782,227786280,52955620164,50493691784,,Выдано,2026-04-20 18:12:48,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4923177781,mp.e61664a85d8a43f3b1d43b4abb336ba1.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768276123,246980053,52831861853,50595936993,,Выдано,2026-04-20 18:30:36,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-18,,4912834539,mp.f9f2f9f602b7404ba2cbb28a72d3d35f.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681265471,244447238,52785760095,32234600116,,Выдано,2026-04-20 12:55:47,2026-04-23 13:15:45,,Возврат неверного вложения,2026-04-19,,0,WH_RO_SRN_MW.e6b84109da0f46c9a077fe4b0466f240,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2037241494235,138175698,52875690059,51972719937,,Выдано,2026-04-22 10:18:16,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-19,,4913817164,mp.20590efd191b45efbe86e83a0808c8f6.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037541774853,149260784,52603997472,51229831112,,Выдано,2026-04-24 09:22:18,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-19,,4891427761,mp.377adab693114c82ba18b5da017913ae.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737561717,246094560,52955273487,52955273487,,Выдано,2026-04-28 12:46:57,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-19,,4922862937,mp.44e017ff66494b5a8908614bf94c19ab.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2039900617719,227577732,52878896816,52878896816,,Выдано,2026-04-24 09:38:30,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-19,,4915875236,mp.b5ea2f10b71041c49dce3ce60711a6ff.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597899705,176501731,52831607033,50674295623,,Выдано,2026-04-22 10:17:33,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-19,,4912579466,mp.b6b2031962e14bc4961e139691cce94d.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757481207,181095868,52900058071,52900058071,,Выдано,2026-04-23 13:33:11,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-19,,4919934827,mp.ca3d1128c8284478bbf7b77cc5e4f238.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044508071627,120371366,52879002583,51068553276,,Выдано,2026-04-21 09:56:01,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-19,,4915981272,mp.d8430c5cd1c04c72b67829b9a97ccba5.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2038597273086,176482182,52954133337,51541115463,,Выдано,2026-04-24 09:13:16,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-19,,4921721493,mp.db5021ff7a4941afa39963fe6b67e6ed.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040737561755,246094498,52585789436,38373126034,,Выдано,2026-04-22 09:50:25,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-19,,4889267217,mp.ee694b76151140de823491550d0e9aef.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CANTO,Шторы интерьерные,2040191802869,234407614,52477258594,49236439019,,Выдано,2026-04-29 09:43:07,2026-05-02 16:51:59,,"Возврат товара, который приехал по МП, продавцу",2026-04-19,,4880022223,mp.fb9e7fc902044448ab5ae2c32ce6bf1a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037545158024,149403515,35439662348,30210948735,,Выдано,2026-04-22 09:52:32,2026-04-23 13:15:45,,Возврат по инициативе продавца,2026-04-20,,0,36aea688-5e00-4cca-9895-195bdcb52ed9.0.0,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647322,244226874,52876977847,50670655689,,Выдано,2026-05-01 14:28:58,2026-05-02 16:51:59,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4914456280,mp.15b5b87dd24747208e7d4f0d72a0cc4c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266508,244447139,53003564055,47278983116,,Выдано,2026-04-24 14:02:17,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4928806494,mp.1c2b524ba5454da9922573bdd95beb5c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044507018623,120370282,53002814785,50651681196,,Выдано,2026-04-24 10:25:50,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4928058452,mp.37ca05ca2e6a4c1fab647c05d7c0c046.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA BIANCO,Шторы интерьерные,2038557672447,175636613,52978607458,50734638265,,Выдано,2026-04-25 09:49:44,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4924934770,mp.51cb80610c0b4e53aa82acffd1b2b5cc.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647346,244226779,52589281235,51190243219,,Выдано,2026-04-22 09:45:09,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4889731126,mp.70a895f44c994b98935acdbb5903721c.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044507018623,120370282,53002814790,50651681200,,Выдано,2026-04-24 10:24:29,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4928058453,mp.78e18d4757e249e6a8b3dfc711454f0e.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2038279976564,171828889,52979871177,51972753313,,Выдано,2026-04-27 09:05:18,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4925639364,mp.88756f4f0af442a2a07891208cd52ea0.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2044507018623,120370282,53002814788,50651681192,,Выдано,2026-04-24 10:25:52,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4928058451,mp.92e0d0b161a0461a8d88ef5c4adf9b53.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277403,246980223,52876977848,50670655693,,Выдано,2026-05-01 14:25:54,2026-05-02 16:51:59,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4914456283,mp.960414e500aa4e08aeec536c3361e979.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647322,244226874,52897428515,50480238178,,Выдано,2026-04-24 10:23:55,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4917881992,mp.a1fd8356b22744b6b673ef2cbb9a7f57.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755197367,220985950,52877774133,42024177955,,Выдано,2026-04-24 09:31:41,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4915252987,mp.af5b96e036e34cf38b790e3fc51c3953.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2037545622358,149428995,52194520972,50853353577,,Выдано,2026-04-22 16:59:21,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4855435807,mp.b5e27e0ff62a4ef2b85c865bb7154cfb.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277403,246980223,52990141630,50777995813,,Выдано,2026-04-23 09:30:39,2026-04-23 13:15:45,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4926339294,mp.c03449ad46a640c0a19dd980ee72b299.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040637384256,242971183,52900785306,51091510721,,Выдано,2026-04-24 09:21:33,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4920119929,mp.c74f7bb4898c437b9089f7de3364031d.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2040768277595,246980444,52482251403,50821104967,,Выдано,2026-04-25 09:56:41,2026-04-28 13:57:10,,"Возврат товара, который приехал по МП, продавцу",2026-04-20,,4880905390,mp.ca73bb72466d4ea5b649f3b85f612f5c.r,"Тверь, Улица Вагжанова 21",211256
