Товар,,,,,,,Статус,Готов к выдаче,Забрали,Истёк срок хранения,Информация,,,,,ПВЗ,
Бренд,Предмет,Баркод,Артикул WB,Штрихкод,Стикер,КИЗ,,,,,Тип,Дата заказа,Причина,Номер сборочного задания,Srid,Адрес,ID
ADRIANA VIVO,Тюль,2037547868433,149517344,51363959573,48675362086,,Выдано,2026-03-29 15:04:58,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4797699725,mp.e8279a617a904d8f8b989931e7f2adb1.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647346,244226779,50534296733,50222677427,,Выдано,2026-03-29 11:20:46,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4731520887,mp.edff4d7885e14772bdaa3a0d3162dafc.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ALLEGRO,Тюль,2037411159131,144454629,18960923706,31412046249,,Выдано,2026-03-28 11:32:53,2026-03-31 11:51:30,,Возврат брака,2026-03-26,,0,0d2992bee28841d28686d112c6499b58,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2037241494259,138175690,51390256634,27059376389,,Выдано,2026-03-31 09:11:45,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4798727650,mp.1bbdfcaa4f264bff9d214a7bd9434af9.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LENTO,Тюль,2040681266805,244447348,51232792962,48963352600,,Выдано,2026-03-30 09:07:09,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4781856849,mp.36e68474198c4d87b7da570a591f993b.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037545280091,149410081,51293573830,49491193357,,Выдано,2026-04-02 12:44:47,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4787585517,mp.406e4b0ede834f5fb354875b2167b94d.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037545280091,149410081,51293573806,49491193373,,Выдано,2026-04-02 12:44:11,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4787585501,mp.4a959e920d1b4e5b857f13c59ae202d7.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI VERONA,Тюль,2039900617993,227577915,51555454675,50469023759,,Выдано,2026-03-31 15:56:04,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4809297557,mp.4bb18aa3413a4c06a4b7fc8ed20936e9.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757481337,181095884,51586927742,50412714187,,Выдано,2026-04-01 13:25:00,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4809899306,mp.56a87344def644c898ae34b5fc94c98f.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2037545280091,149410081,51293573822,49491193377,,Выдано,2026-04-02 12:44:32,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-26,,4787585519,mp.57ce25e1b7554afba9d183aab0b46f74.r,"Тверь, Улица Вагжанова 21",211256
